Track,Year,Driver,X,Y,Speed,DRS
Australian Grand Prix,2022,LEC,-5855.0,7761.0,152.34626239933738,Off
Australian Grand Prix,2022,LEC,-5843.423125581679,7786.309802818525,153.0,Off
Australian Grand Prix,2022,LEC,-5834.174774527492,7823.172273763982,158.0,Off
Australian Grand Prix,2022,LEC,-5833.0,7829.0,158.68250624,Off
Australian Grand Prix,2022,LEC,-5813.0,7938.0,166.48250624,Off
Australian Grand Prix,2022,LEC,-5809.749669256433,8023.376934171596,171.0,Off
Australian Grand Prix,2022,LEC,-5816.0,8158.0,180.2083413333333,Off
Australian Grand Prix,2022,LEC,-5821.300346513815,8215.941492327767,186.0,Off
Australian Grand Prix,2022,LEC,-5831.0,8286.0,193.24000768,Off
Australian Grand Prix,2022,LEC,-5832.320160464664,8295.160716120572,194.0,Off
Australian Grand Prix,2022,LEC,-5847.0,8395.0,199.8178633142857,Off
Australian Grand Prix,2022,LEC,-5855.324533303525,8450.83338136816,203.0,Off
Australian Grand Prix,2022,LEC,-5871.0,8553.0,208.8178633142857,Off
Australian Grand Prix,2022,LEC,-5880.184070863936,8609.906990738355,212.0,Off
Australian Grand Prix,2022,LEC,-5892.0,8681.0,214.01666986666663,Off
Australian Grand Prix,2022,LEC,-5915.911020464626,8824.429997543335,218.0,Off
Australian Grand Prix,2022,LEC,-5916.0,8825.0,218.04020871068664,Off
Australian Grand Prix,2022,LEC,-5926.0,8899.0,222.86432776222625,Off
Australian Grand Prix,2022,LEC,-5932.617826612195,8974.830968824908,226.0,Off
Australian Grand Prix,2022,LEC,-5947.0,9207.0,231.0500032,Off
Australian Grand Prix,2022,LEC,-5948.905202470992,9254.438413047808,233.0,Off
Australian Grand Prix,2022,LEC,-5942.0,9324.0,234.8937512,Off
Australian Grand Prix,2022,LEC,-5928.215048781276,9412.441562782536,236.0,Off
Australian Grand Prix,2022,LEC,-5894.0,9607.0,236.55500032,Off
Australian Grand Prix,2022,LEC,-5874.144234332352,9673.378853196851,237.0,Off
Australian Grand Prix,2022,LEC,-5860.0,9705.0,237.0,Off
Australian Grand Prix,2022,LEC,-5816.456271177798,9797.146443596215,237.0,Off
Australian Grand Prix,2022,LEC,-5796.0,9835.0,237.0,Off
Australian Grand Prix,2022,LEC,-5761.474159932223,9890.3395601664,237.0,Off
Australian Grand Prix,2022,LEC,-5730.0,9934.0,238.1714304,Off
Australian Grand Prix,2022,LEC,-5642.904575309106,10034.674861141037,241.0,Off
Australian Grand Prix,2022,LEC,-5613.0,10065.0,241.7750016,Off
Australian Grand Prix,2022,LEC,-5522.995117758324,10148.126101269663,244.0,Off
Australian Grand Prix,2022,LEC,-5522.0,10149.0,244.0416693333333,Off
Australian Grand Prix,2022,LEC,-5396.650864631216,10251.92669322538,249.0,Off
Australian Grand Prix,2022,LEC,-5381.0,10264.0,249.458336,Off
Australian Grand Prix,2022,LEC,-5187.321569179423,10409.20170577885,254.0,Off
Australian Grand Prix,2022,LEC,-5143.0,10442.0,254.93000192,Off
Australian Grand Prix,2022,LEC,-5082.84238588295,10486.084114035246,257.0,Off
Australian Grand Prix,2022,LEC,-5024.463611522515,10525.69120124434,260.0,Off
Australian Grand Prix,2022,LEC,-5024.0,10526.0,260.015624,Off
Australian Grand Prix,2022,LEC,-4890.0,10614.0,263.453128,Off
Australian Grand Prix,2022,LEC,-4827.454250656016,10653.505983160523,265.0,Off
Australian Grand Prix,2022,LEC,-4789.0,10677.0,265.7625024,Off
Australian Grand Prix,2022,LEC,-4660.0,10751.0,268.2625024,Off
Australian Grand Prix,2022,LEC,-4621.166793408087,10771.999408039848,269.0,Off
Australian Grand Prix,2022,LEC,-4418.0,10874.0,273.718752,Off
Australian Grand Prix,2022,LEC,-4405.754580018845,10879.819659362203,274.0,Off
Australian Grand Prix,2022,LEC,-4308.0,10925.0,274.884736176396,Off
Australian Grand Prix,2022,LEC,-4238.0,10956.0,275.50778926012,Off
Australian Grand Prix,2022,LEC,-4189.193107803886,10977.348187989614,276.0,Off
Australian Grand Prix,2022,LEC,-4013.1932504494407,11053.48267902141,278.0,Off
Australian Grand Prix,2022,LEC,-4012.0,11054.0,278.0041674666667,Off
Australian Grand Prix,2022,LEC,-3768.0,11160.0,278.7541674666667,Off
Australian Grand Prix,2022,LEC,-3717.661396850572,11182.025556917932,279.0,Off
Australian Grand Prix,2022,LEC,-3640.0,11217.0,280.5062512,Off
Australian Grand Prix,2022,LEC,-3596.2243796307457,11236.408614207074,281.0,Off
Australian Grand Prix,2022,LEC,-3428.0,11311.0,281.0,Off
Australian Grand Prix,2022,LEC,-3385.644200675716,11330.14511764984,281.0,Off
Australian Grand Prix,2022,LEC,-3329.0,11356.0,280.7468744,Off
Australian Grand Prix,2022,LEC,-3187.0,11422.0,280.1218744,Off
Australian Grand Prix,2022,LEC,-3159.33694378612,11435.24946329002,280.0,Off
Australian Grand Prix,2022,LEC,-3021.0,11504.0,276.6499968,Off
Australian Grand Prix,2022,LEC,-2996.2278641664807,11516.86904683771,276.0,Off
Australian Grand Prix,2022,LEC,-2859.0,11593.0,246.3030992,Off
Australian Grand Prix,2022,LEC,-2786.684717159118,11636.511592828769,233.0,Off
Australian Grand Prix,2022,LEC,-2675.0,11706.0,223.4406136,Off
Australian Grand Prix,2022,LEC,-2612.7312648463744,11745.818640715386,214.0,Off
Australian Grand Prix,2022,LEC,-2565.0,11774.0,208.35999232,Off
Australian Grand Prix,2022,LEC,-2538.737178977137,11788.18834844934,206.0,Off
Australian Grand Prix,2022,LEC,-2467.0,11822.0,202.17327296223493,Off
Australian Grand Prix,2022,LEC,-2378.0,11846.0,197.28809616192453,Off
Australian Grand Prix,2022,LEC,-2301.876586556823,11855.374051796818,193.0,Off
Australian Grand Prix,2022,LEC,-2199.0,11843.0,193.91000064,Off
Australian Grand Prix,2022,LEC,-2186.8103745126755,11839.693591691575,194.0,Off
Australian Grand Prix,2022,LEC,-2026.0,11778.0,196.7750016,Off
Australian Grand Prix,2022,LEC,-1942.0662549135232,11730.843147203905,199.0,Off
Australian Grand Prix,2022,LEC,-1892.9129492598047,11690.410541128436,201.0,Off
Australian Grand Prix,2022,LEC,-1864.0,11667.0,204.0750048,Off
Australian Grand Prix,2022,LEC,-1800.0616158682506,11616.503186850185,210.0,Off
Australian Grand Prix,2022,LEC,-1737.0,11573.0,212.6142884571429,Off
Australian Grand Prix,2022,LEC,-1634.647124007122,11513.294672555548,216.0,Off
Australian Grand Prix,2022,LEC,-1609.0,11500.0,216.8166691555556,Off
Australian Grand Prix,2022,LEC,-1507.0,11458.0,220.3166691555556,Off
Australian Grand Prix,2022,LEC,-1390.9223345014111,11423.604507421387,223.0,Off
Australian Grand Prix,2022,LEC,-1212.3415454057006,11377.336358980489,231.0,Off
Australian Grand Prix,2022,LEC,-1211.0,11377.0,231.0375024,Off
Australian Grand Prix,2022,LEC,-1090.356604760225,11350.707427572475,237.0,Off
Australian Grand Prix,2022,LEC,-1016.0,11337.0,240.0249984,Off
Australian Grand Prix,2022,LEC,-902.1007121242184,11315.59395085867,243.0,Off
Australian Grand Prix,2022,LEC,-789.0,11294.0,245.520832,Off
Australian Grand Prix,2022,LEC,-724.5969526728766,11281.160460692334,248.0,Off
Australian Grand Prix,2022,LEC,-667.0,11268.0,250.0124992,Off
Australian Grand Prix,2022,LEC,-627.383549398207,11258.467668119662,251.0,Off
Australian Grand Prix,2022,LEC,-521.2259257541865,11231.022124072962,255.0,Off
Australian Grand Prix,2022,LEC,-449.0,11209.0,256.0250016,Off
Australian Grand Prix,2022,LEC,-287.7901843820489,11154.631627354738,258.0,Off
Australian Grand Prix,2022,LEC,-286.0,11154.0,258.02910789576487,Off
Australian Grand Prix,2022,LEC,-73.0,11061.0,263.850314491518,Off
Australian Grand Prix,2022,LEC,-26.257044877573044,11035.452125263584,265.0,Off
Australian Grand Prix,2022,LEC,79.0,10973.0,267.0125024,Off
Australian Grand Prix,2022,LEC,164.0,10913.0,268.7625024,Off
Australian Grand Prix,2022,LEC,219.7278208680127,10870.000952185206,270.0,Off
Australian Grand Prix,2022,LEC,291.0,10807.0,271.6500026181818,Off
Australian Grand Prix,2022,LEC,501.0,10577.0,275.74091170909094,Off
Australian Grand Prix,2022,LEC,511.5251908007213,10564.326764258823,276.0,Off
Australian Grand Prix,2022,LEC,606.7143530168856,10435.96455952209,279.0,Off
Australian Grand Prix,2022,LEC,629.0,10402.0,279.6535734857143,Off
Australian Grand Prix,2022,LEC,716.9254437290126,10258.96862414844,282.0,Off
Australian Grand Prix,2022,LEC,764.0,10173.0,282.0,Off
Australian Grand Prix,2022,LEC,805.9127038654638,10087.720327775778,282.0,Off
Australian Grand Prix,2022,LEC,819.0,10060.0,282.5857170285714,Off
Australian Grand Prix,2022,LEC,891.5995497470016,9885.148165732397,286.0,Off
Australian Grand Prix,2022,LEC,892.0,9884.0,286.0027783111111,Off
Australian Grand Prix,2022,LEC,971.0,9642.0,286.5027783111111,Off
